Categorisation,Subcategories,Barcode,Name,Form,Product code ,SDS,Cas_No1,"Content1
(% )",Cas_No2,"Content2
(% )",Cas_No3,"Content3
(% )",Cas_No4,"Content4
(% )",Cas_No5,"Content5
(% )",Cas_No6,"Content6
(% )",Cas_No7,"Content7
(% )",Cas_No8,"Content8
(% )",Cas_No9,"Content9
(% )",Cas_No10,"Content10
(% )",Cas_No11,"Content11
(% )",Cas_No12,"Content12
(% )"
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Multi purpose degreaser 2x2l highly concentrated liquid pouch for use through instlaled dosing equipment,Liquid,MFB849,https://media.supplychain.nhs.uk/media/documents/MFB849/COSHH/71460_MFB849.PDF,141-43-5 ,5 to 10,67-63-0 ,3 to 5,68424-85-1 ,0.5 to 1,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Concentrated heavy duty degreaser and all purpose floor cleaner 2x5l for use in an installed dosing system,Liquid,MFB850,https://media.supplychain.nhs.uk/media/documents/MFB850/COSHH/71461_MFB850.PDF,141-43-5 ,5 to 10,111-76-2 ,3 to 5,1344-09-8,1 to 2.5,1310-73-2 ,0.5 to 1,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Washroom Cleaner (3),,Washroom Cleaner Concentrated acid 4 in 1 disinfectant deoderiser descaler for use with an installed dosing system 12x1l,Liquid,MFB851,https://media.supplychain.nhs.uk/media/documents/MFB851/COSHH/71462_MFB851.PDF,79-33-4 ,5 to 10,68424-85-1 ,1 to 2.5,69227-22-1 ,1 to 2.5,64-17-5,0.5 to 1,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Laundry detergent (3),,Laundry detergent Enzymatic one shot perfumed 10l liquid for use in an installed dosing system,Liquid,MFB852,https://media.supplychain.nhs.uk/media/documents/MFB852/COSHH/71463_MFB852.PDF,68411-30-3 ,5 to 10,157627-86-6 ,5 to 10,61790-64-5 ,5 to 10,61789-31-9 ,5 to 10,69011-36-5 ,2.5 to 3,1310-73-2 ,0.5 to 1,57-55-6,5 to 10,,,,,,,,,,
Cleaning chemicals?(135),Rinse aid (8),,Rinse aid Super concentrated solid powder for use in all water areas throuhg installed dosing equipment 2x1.1kg,Liquid,MFB853,https://media.supplychain.nhs.uk/media/documents/MFB853/COSHH/71471_MFB853.pdf,9003-11-6.,30 to 50,57-13-6,30 to 50,68002-97-1,10 to 20,55965-84-9,0.0015 to 0.06,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Rinse aid (8),,Rinse aid concentrated neutral for all water areas 2x5l for use through installed dosing equipment,Liquid,MFB854,https://media.supplychain.nhs.uk/media/documents/MFB854/COSHH/71464_MFB854.PDF,28348-53-0 ,5to 10,68551-13-3 ,5to 10,111905-53-4 ,3 to 5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Washing up liquid (4),,Washing up liquid Super concentrated manual ph neutral detergent 2x1.36kg used through installed dosing system,Solid,MFB855,https://media.supplychain.nhs.uk/media/documents/MFB855/COSHH/71465_MFB855.PDF,25155-30-0 ,30 to 50,68585-34-2 ,10 to 20,127-09-3 ,5 to 10,142-78-9,5 to 10,68140-00-1 ,3 to 5,110615-47-9 ,1 to 2.5,1344-09-8 ,1 to 2.5,68002-97-1 ,0.25 to 0.5,56-81-5 ,0.25 to 0.5,141-43-5 ,H332,,,,
Cleaning chemicals?(135),Floor cleaner (8),,Floor cleaner Neutral general purpose for scurbber driers and floor cleaning machines 10l,Liquid,MFB856,https://media.supplychain.nhs.uk/media/documents/MFB856/COSHH/71466_MFB856.PDF,577-11-7 ,1 to 2.5,67-63-0 ,0.5 to 1,64-17-5 ,0.1 to 0.25,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Kitchen Cleaner (5),,Kitchen Cleaner One step and sanitiser disinfectant 2x2l highly concentrated for use through installed dosing system ,Liquid,MFB857 ,https://media.supplychain.nhs.uk/media/documents/MFB857/COSHH/71467_MFB857.PDF,164462-16-2 ,1 to 2.5,68424-85-1,0.5 to 1,2372-82-9 ,0.5 to 1,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Detergent (8),,Dishwasher Detergent Concentrated ND4 for all water areas liquid for use in an installed dosing system 5 litres,Liquid,MFB858,https://media.supplychain.nhs.uk/media/documents/MFB858/COSHH/71899_MFB858%200012926.pdf,1310-73-2,5 to 15,2605-79-0 ,<1,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Highly concentrated V200 liquid self dosing bottle system 1 litre,Liquid,MFB859,https://media.supplychain.nhs.uk/media/documents/MFB859/COSHH/71900_MFB859%200060213.pdf,54549-24-5,1 to 5,3332-27-2,1 to 5,141-43-5,1 to 5,Polymer_DT03,1 to 5,85117-50-6 ,1 to 5,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Concentrated Washroom Cleaner V100 1 litre liquid self dosing bottle system ,Liquid,MFB860 ,https://media.supplychain.nhs.uk/media/documents/MFB860/COSHH/71901_MFB860%200060212.pdf,Polymer_DT03,5 to 15,Polymer_DT01,1 to 5,79-33-4,1 to 5,5329-14-6,1 to 5,77-92-9,1 to 5,3332-27-2,1 to 5,,,,,,,,,,,,
Cleaning chemicals?(135),Rinse aid (8),,Rinse aid Concentrated R5 liquid for use in all water areas for use in an installed dosing system 5 litres,Liquid,MFB862,https://media.supplychain.nhs.uk/media/documents/MFB862/COSHH/71903_MFB862%200012936.pdf,54549-24-5,1 to 5,1300-72-7,1 to 5,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner Concentrate general purpose V300 suitable for floor cleaning machines1 litre ,Liquid,MFB863 ,https://media.supplychain.nhs.uk/media/documents/MFB863/COSHH/71904_MFB863%200060218.pdf,54549-24-5,1 to 5,3332-27-2,1 to 5,141-43-5,1 to 5,Polymer_DT03,1 to 5,85117-50-6,1 to 5,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner Neutral general purpose FC1 neutral-X liquid suitable for floor cleaning machines 5 litres ,Liquid,MFB864 ,https://media.supplychain.nhs.uk/media/documents/MFB864/COSHH/71909_MFB864%200057418.pdf,Polymer_DT03,1 to 5,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner And degreaser liquid for use in an installed dosing system 5 litres,Liquid,MFB865,https://media.supplychain.nhs.uk/media/documents/MFB865/COSHH/71905_MFB865%200012218.pdf,64-17-5,1 to 5,5131-66-8,1 to 5,68439-46-3,1 to 5,141-43-5,<1,68391-01-5 ,<1,,,,,,,,,,,,,,
Cleaning chemicals?(135),Rinse aid (8),,Rinse aid Concentrated liquid for use in all water areas for use in an installed dosing system 10 litres,Liquid,MFB866,https://media.supplychain.nhs.uk/media/documents/MFB866/COSHH/71906_MFB866%20100728.pdf,77-92-9,10 to 20,68551-13-3,10 to 20,64-17-5,1 to 5,28348-53-0,1 to 5,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Measured concentrate dosing system to be used in a 100 buckets or trigger spray bottles is pleasantly perfumed with powerful bactericidal properties passing BS1276 requires no dispensing equipment 1 Ltr ,Liquid,MFB867 ,https://media.supplychain.nhs.uk/media/documents/MFB867/COSHH/72544_MFB867.pdf,Polymer_DT03,5 to 15,Polymer_DT01,1 to 5,79-33-4,1 to 5,5329-14-6,1 to 5,77-92-9,1 to 5,3332-27-2,1 to 5,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),7.6154E+12,Washing up liquid Stat-plus d1-bac hygienic 1.5 ltr divermite pouch,-,MFD033,https://media.supplychain.nhs.uk/media/documents/MFD033/COSHH/73280_MFD033.pdf,85995-83-1,30 to 50,57-55-6,10 to 20,1187742-72-8,10 to 20,110615-47-9,3 to 10,52-51-7,0.01 to 0.1,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),7.6154E+12,Rinse aid Rinse a5 sealed recyclable packaging for safepack system 10 litre,-,MFD063,https://media.supplychain.nhs.uk/media/documents/MFD063/COSHH/59827_MFD063.pdf,111905-53-4,3 to 10,9003-11-6.,1 to 3,15763-76-5,1 to 3,111-30-8,0.01 to 0.1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),8.7112E+12,Washing up liquid Star-plus d1 plus 1.5 litre divermite pouch,-,MFD073,https://media.supplychain.nhs.uk/media/documents/MFD073/COSHH/73560_MFD073.pdf,85995-83-1,30 to 50,57-55-6,10 to 20,1187742-72-8,10 to 20,110615-47-9,3 to 10,5989-27-5,0.01 to 0.1,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner Evans Pine Gel PH neutral pine fragrance 5ltr concentrate ,Gel,MFD086 ,"https://media.supplychain.nhs.uk/media/documents/MFD086/COSHH/36379_MFD086.pdf
https://media.supplychain.nhs.uk/media/documents/MFD086/COSHH/64831_MFD086.pdf",25155-30-0,5 to 10,8002-09-3.,5 to 10,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Carpet Cleaner (8),7.6154E+12,Carpet Cleaner Shampoo c2c for shampooing machines 5 ltr concentrate ,Liquid,MFD103 ,https://media.supplychain.nhs.uk/media/documents/MFD103/COSHH/66364_MFD103.pdf,25882-44-4,3 to 10,85586-07-8,3 to 10,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Floor care products?(36),Carpet Cleaner (8),7.61501E+11,Carpet Cleaner Extract c1b for extraction machines 5 ltr concentrate ,Liquid,MFD107 ,https://media.supplychain.nhs.uk/media/documents/MFD107/COSHH/70828_MFD107%20M.S.D.S.pdf,111905-53-4,3 to 10,68439-49-6,1 to 3,15763-76-5 ,1 to 3,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),7.6154E+12,Rinse aid Maro a8.8 for medium to hard water areas 5 ltr concentrate,-,MFD113,https://media.supplychain.nhs.uk/media/documents/MFD113/COSHH/73561_MFD113.pdf,111905-53-4,3 to 10,77-92-9,3 to 10,15763-76-5,1 to 3,120313-48-6,1 to 3,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Detergent Sanitizer (7),7.6154E+12,Detergent Sanitizer Sol d4.8 chlorine releasing powder for use with mfd089 10kg tub ,Liquid,MFD114 ,https://media.supplychain.nhs.uk/media/documents/MFD114/COSHH/59365_MFD114.pdf,51580-86-0,3 to 10,,,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Powder?(2),7.6154E+12,Dishwasher Powder Suitable for domestic dishwashers 5kg,,MFD117,https://media.supplychain.nhs.uk/media/documents/MFD117/COSHH/73563_MFD117.pdf,10213-79-3,10 to 20,497-19-8,10 to 20,51580-86-0,1 to 3,120313-48-6,0.1 to 1,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Detergent Sanitizer (7),8.7112E+12,Detergent Sanitizer Bac d10- conc for cleaning and disinfection of all surfaces for use with devermite dispender 1.5 ltr concentrate ,Liquid,MFD120 ,https://media.supplychain.nhs.uk/media/documents/MFD120/COSHH/32323_MFD120.pdf,69011-36-5,5 to 15,7173-51-5,0 to 5,68424-85-1 ,0 to 5,69011-36-5,0 to 5,497-19-8 ,0 to 5,67-63-0 ,0 to 5,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),7.6154E+12,Floor Cleaner 300 conc low foaming for use in scrubber dryers 1 ltr bottle ,Liquid,MFD124 ,https://media.supplychain.nhs.uk/media/documents/MFD124/COSHH/59830_MFD124.pdf,9038-95-3,3 to 10,69011-36-5,3 to 10,1960-12-08,0.1 to 1,111-30-8,0.01 to 0.1,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),7.6154E+12,Floor Cleaner Best ph neutral heavy duty cleaner and degreaser for use with mop or scrubber dryer 5 ltr concentrate ,Liquid,MFD133 ,https://media.supplychain.nhs.uk/media/documents/MFD133/COSHH/65002_MFD133.pdf,67-63-0,3 to 10,68439-50-9,3 to 10,160875-66-1,3 to 10,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Detergent sanitizer (3),7.6154E+12,Detergent sanitizer Multi conc d2 conc highly concentrated detergent for cleaning of hard surfaces in food premises divermite 1.5 ltr pouch,Liquid,MFD178,https://media.supplychain.nhs.uk/media/documents/MFD178/COSHH/66365_MFD178.pdf,69011-36-5,20 to 30,141-43-5,3 to 10,85480-55-3,3 to 10,107-98-2,1 to 3,67-63-0,1 to 3,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),8.7112E+12,Floor Cleaner 300 low foaming 5 ltr concentrate ,Liquid,MFD179 ,https://media.supplychain.nhs.uk/media/documents/MFD179/COSHH/59831_MFD179.pdf,9038-95-3,3 to 10,69011-36-5,3 to 10,1960-12-08,0.1 to 1,111-30-8,0.01 to 0.1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),7.6154E+12,Washing up liquid 1 litre,-,MFD223,https://media.supplychain.nhs.uk/media/documents/MFD223/COSHH/73555_MFD223.pdf,90194-45-9,10 to 20,68585-34-2,3 to 10,52-51-7,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),7.6154E+12,Washing up liquid 5 litre,-,MFD224,https://media.supplychain.nhs.uk/media/documents/MFD224/COSHH/73556_MFD224.pdf,90194-45-9,10 to 20,68585-34-2,3 to 10,52-51-7,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Floor care products?(36),Carpet Cleaner (8),8.7118E+12,Carpet Cleaner Foam shampoo cleans and freshens 5 ltr concentrate to use with shampooing machine ,Liquid,MFD227 ,https://media.supplychain.nhs.uk/media/documents/MFD227/COSHH/59832_MFD227.pdf,25882-44-4,3 to 10,85586-07-8,3 to 10,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Floor care products?(36),Carpet Cleaner (8),8.7118E+12,Carpet Cleaner Extraction machines and pre-spraying 5 ltr concentrate ,Liquid,MFD229 ,https://media.supplychain.nhs.uk/media/documents/MFD229/COSHH/59840_MFD229.pdf,111905-53-4,3 to 10,68439-49-6,1 to 3,15763-76-5 ,1 to 3,88-41-5,0.1 to 1,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),,Washing up liquid Q'Sol Superior quality concentrate 1 ltr bottle,-,MFD339,https://media.supplychain.nhs.uk/media/documents/MFD339/COSHH/64832_MFD339.pdf,68439-57-6?,10 to 15,68891-38-3,3 to 5,85736-63-6,1 to 3,68439-46-3,0.1 to 1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),,Washing up liquid Q'Sol Superior quality concentrate 5 litre bottle,-,MFD340,https://media.supplychain.nhs.uk/media/documents/MFD340/COSHH/64833_MFD340.pdf,68439-57-6?,10 to 15,68891-38-3,3 to 5,85736-63-6,1 to 3,68439-46-3,0.1 to 1,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),,Hard Surface Cleaner HSC Heavy Duty lemon fragrance 5ltr concentrate ,Liquid,MFD343 ,https://media.supplychain.nhs.uk/media/documents/MFD343/COSHH/64834_MFD343.pdf,68439-45-2,1 to 3,61789-40-0,1 to 3,141-43-5,1 to 3,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),7.6154E+12,Dishwasher Detergent Alu l10 aluminium safe auto dose 5 ltr concentrate,,MFD346,https://media.supplychain.nhs.uk/media/documents/MFD346/COSHH/73567_MFD346.pdf,Unknown,10 to 20,14860-53-8,1 to 3,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),8.7112E+12,Rinse aid Rinse a5 for all water conditions 5 ltr concentrate,-,MFD353,https://media.supplychain.nhs.uk/media/documents/MFD353/COSHH/59841_MFD353.pdf,111905-53-4,3 to 10,9003-11-6.,1 to 3,15763-76-5,1 to 3,111-30-8,0.01 to 0.1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),,Rinse aid Rinse a5 for all water conditions 20 ltr concentrate,-,MFD354,https://media.supplychain.nhs.uk/media/documents/MFD354/COSHH/59842_MFD354.pdf,111905-53-4,3 to 10,9003-11-6.,1 to 3,15763-76-5,1 to 3,111-30-8,0.01 to 0.1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),7.6154E+12,Washing up liquid Quat d1.7 bactericidal with sanitising properties 5 ltr,-,MFD355,https://media.supplychain.nhs.uk/media/documents/MFD355/COSHH/73568_MFD355.pdf,68002-97-1,10 to 20,68424-85-1,3 to 10,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),7.6154E+12,Washing up liquid Star d1 ph neutral 5 ltr concentrate,-,MFD357,https://media.supplychain.nhs.uk/media/documents/MFD357/COSHH/73570_MFD357.pdf,90194-45-9,10 to 20,68585-34-2,3 to 10,52-51-7,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Destainer?(3),8.7112E+12,Destainer Soak k7 for cutlery and crockery soaking 10kg tub,-,MFD358,https://media.supplychain.nhs.uk/media/documents/MFD358/COSHH/73571_MFD358.pdf,497-19-8,50 to 75,64425-86-1,1 to 3,,,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Detergent Sanitizer (7),7.6154E+12,Detergent Sanitizer Bac d10 5 ltr concentrate (for use with mle645 pelican pump) ,Liquid,MFD364 ,https://media.supplychain.nhs.uk/media/documents/MFD364/COSHH/66366_MFD364.pdf,68424-85-1 ,3 to 10,69011-36-5,3 to 10,497-19-8,1 to 3,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Disinfectant (4),5.01016E+12,Disinfectant Hospec Detergent Sanitiser powder Complies with EN1276 EN13697 EN13704 500g tub ,Solid,MFD365 ,https://media.supplychain.nhs.uk/media/documents/MFD365/COSHH/66574_MFD365.pdf,160875-66-1,2.5 to 10,55965-84-9,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),8.7112E+12,Rinse aid Crystal a8 for hard water areas 5 ltr concentrate,-,MFD367,https://media.supplychain.nhs.uk/media/documents/MFD367/COSHH/73573_MFD367.pdf,111905-53-4,3 to 10,15763-76-5,1 to 3,120313-48-6,1 to 3,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),7.6154E+12,Rinse aid Select a7 for all water areas 5 ltr super concentrate,-,MFD375,https://media.supplychain.nhs.uk/media/documents/MFD375/COSHH/59845_MFD375.pdf,111905-53-4,3 to 10,9003-11-6.,1 to 3,111-30-8,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Detergent Sanitizer (7),7.6154E+12,Detergent Sanitizer Cleaner disinfectant 5 litre ,Liquid,MFD393 ,https://media.supplychain.nhs.uk/media/documents/MFD393/COSHH/59330_MFD393.pdf,68424-85-1 ,3 to 10,1964-02-08,1 to 3,68424-85-1,1 to 3,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Clean Fast Heavy Duty Complies with Passes EN1276 Citrus Fragrance Ready to use Trigger Spray 750ml ,Liquid,MFD413 ,https://media.supplychain.nhs.uk/media/documents/MFD413/COSHH/59068_MFD413.pdf,77-92-9,3 to 5,68439-45-2,1 to 3,107-98-2?,1 to 3,68424-85-1,0.1 to 1,5989-27-5,0.1 to 1,111-46-6,0.1 to 1,139734-65-9?,0.1 to 1,,,,,,,,,,
Dishwashing products?(46),Dishwasher Powder?(2),7.6154E+12,Dishwasher Powder Revoflow safe p9 non-corrosive powder concenetrate for all water conditions 4.5 kg,,MFD450,https://media.supplychain.nhs.uk/media/documents/MFD450/COSHH/73575_MFD450.pdf,497-19-8,10 to 20,10213-79-3,10 to 20,51580-86-0,1 to 3,120313-48-6,0.1 to 1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),7.6154E+12,Rinse aid Revoflow clear a11 for all water conditions 4 ltr concentrate,-,MFD451,https://media.supplychain.nhs.uk/media/documents/MFD451/COSHH/73576_MFD451.pdf,111905-53-4,10 to 20,77-92-9,3 to 10,120313-48-6,3 to 10,15763-76-5,1 to 3,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner 4 in 1 cleans deoderises descales and disinfects compatible with the quattro select system 2.5l concentrate ,Liquid,MFD466 ,https://media.supplychain.nhs.uk/media/documents/MFD466/COSHH/66367_MFD466.pdf,69011-36-5,10 to 20,75-75-2,3 to 10,31726-34-8,3 to 10,64-17-5,3 to 10,69-72-7,3 to 10,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Detergent Sanitizer (7),7.6154E+12,Detergent Sanitizer Liquid cleaner sanitizer trigger spray 750ml with reusable trigger spray ,Liquid,MFD472 ,https://media.supplychain.nhs.uk/media/documents/MFD472/COSHH/59331_MFD472.pdf,68424-85-1 ,0.1 to 1,,,,,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),7.6154E+12,Hard Surface Cleaner Ammo e1f for water resistant hard surfaces 5 ltr concentrate ,Liquid,MFD476 ,https://media.supplychain.nhs.uk/media/documents/MFD476/COSHH/59850_MFD476.pdf,90194-45-9,1 to 3,9038-95-3,1 to 3,69011-36-5,1 to 3,2634-33-5,0.01 to 0.1,1336-21-6,0.01 to 0.1,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher salt?(1),,Dishwasher salt 10kg bag,,MFD480,https://media.supplychain.nhs.uk/media/documents/MFD480/COSHH/64909_MFD480.pdf,7647-14-5 ,,,,,,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),,Hard Surface Cleaner Versatile Heavy Duty floral fragrance 5ltr concentrate ,Liquid,MFD578 ,https://media.supplychain.nhs.uk/media/documents/MFD578/COSHH/64835_MFD578.pdf,68439-45-2?,1 to 3,61789-40-0?,1 to 3,141-43-5,1 to 3,8006-64-2?,<0.1,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Cid smartdose lemon fragrance 1.4 ltr double concentrate ,Liquid,MFD595 ,https://media.supplychain.nhs.uk/media/documents/MFD595/COSHH/49364_MFD595.pdf,69011-36-5,5 to 15,75-75-2,5 to 15,,5 to 15,64-17-5,<5,69-72-7,<5,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),5.01189E+12,Rinse aid Liquid rinse aid for mechanical dishwashing concentrate for use in all water areas for use in an installed dosing system 5 ltr,-,MFD612,https://media.supplychain.nhs.uk/media/documents/MFD612/COSHH/59851_MFD612.pdf,111905-53-4,3 to 10,9003-11-6.,1 to 3,15763-76-5,1 to 3,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Maintainer (2),,Floor Maintainer Indur xl fresh maintainer that prevents build-up round edges of floor with strong fresh fragrance 1l ,Liquid,MFD617 ,https://media.supplychain.nhs.uk/media/documents/MFD617/COSHH/55460_MFD617.pdf,90583-19-0,1 to 5,5131-66-8,1 to 5,68920-66-1,1 to 5,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),8.7112E+12,Rinse aid Unison clar a2 for all water areas 4 ltr concentrate,-,MFD619,https://media.supplychain.nhs.uk/media/documents/MFD619/Marketing/66352_MFD619%20data%20sheet.pdf,111905-53-4,3 to 10,9003-11-6.,3to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Oasis pro 16 premium 2 ltr concentrate,Liquid,MFD621,https://media.supplychain.nhs.uk/media/documents/MFD621/COSHH/66704_MFD621.pdf,141-43-5,5 to 10,67-63-0 ,3 to 5,68424-85-1,0.5 to 1,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),,Washing up liquid Assert lemon 5 ltr,-,MFD626,https://media.supplychain.nhs.uk/media/documents/MFD626/COSHH/66705_MFD626.pdf,85117-50-6 ,10 to 20,68891-38-3 ,3 to 5,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),,Washing up liquid Assert lemon 1 ltr bottle,-,MFD627,https://media.supplychain.nhs.uk/media/documents/MFD627/COSHH/66706_MFD627.pdf,85117-50-6 ,10 to 20,68891-38-3 ,3 to 5,,,,,,,,,,,,,,,,,,,,
Dishwashing detergents rinse additives and kitchen hygiene(1),Rinse aid (1),,Rinse aid Crystal a8 for all water areas 20 ltr concentrate,-,MFD636,"https://media.supplychain.nhs.uk/media/documents/MFD636/COSHH/59799_MFD636.pdf
https://media.supplychain.nhs.uk/media/documents/MFD636/COSHH/73580_MFD636.pdf",111905-53-4,3 to 10,77-92-9,3 to 10,120313-48-6,1 to 3,15763-76-5,1 to 3,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),7.6154E+12,Dishwasher Detergent Combi 2 in 1 warewash detergent & rinse aid LA6 1 x 10L SP,,MFD656,https://media.supplychain.nhs.uk/media/documents/MFD656/COSHH/73581_MFD656.pdf,5064-31-3,20 to 30,1310-73-2,3 to 10,3794-83-0,1 to 3,67-56-1,0.1 to 1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),7.6154E+12,Dishwasher Detergent For all Water Types L6 x 5L,,MFD665,https://media.supplychain.nhs.uk/media/documents/MFD665/COSHH/73582_MFD665.pdf,1310-73-2,10 to 20,3794-83-0,1 to 3,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),7.6154E+12,Dishwasher Detergent For all water types L6.8 20L,,MFD667,https://media.supplychain.nhs.uk/media/documents/MFD667/COSHH/73584_MFD667.pdf,1310-73-2,10 to 20,3794-83-0,1 to 3,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),8.7112E+12,Dishwasher Detergent For medium water hardness conditions L4 20L,,MFD669,https://media.supplychain.nhs.uk/media/documents/MFD669/COSHH/73585_MFD669.pdf,1310-73-2,10 to 20,3794-83-0,1 to 3,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),7.6154E+12,Dishwasher Detergent Nova l6 suitable for use in all water conditions comes in sealed recyclable packaging for safe pack system 10 ltr,,MFD671,https://media.supplychain.nhs.uk/media/documents/MFD671/COSHH/73586_MFD671.pdf,1310-73-2,10 to 20,3794-83-0,1 to 3,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Chewing Gum Remover (1),,Chewing Gum Remover 500m ,Liquid,MFD675 ,"https://media.supplychain.nhs.uk/media/documents/MFD675/COSHH/58854_MFD675.pdf
https://media.supplychain.nhs.uk/media/documents/MFD675/COSHH/66509_MFD675.pdf",106-97-8,50 to 75,,,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),7.6154E+12,Floor Cleaner FR4 heavy duty for use in catering locations removes animal orvegetable oil 5 litres from concentrate ,Liquid,MFD680 ,https://media.supplychain.nhs.uk/media/documents/MFD680/COSHH/59912_MFD680.pdf,15763-76-5,3 to 10,69011-36-5,3 to 10,196823-11-7,3 to 10,1310-73-2,3 to 10,69011-36-5,1 to 3,,,,,,,,,,,,,,
